model,agent,verdict,confidence,reasoning,latency_s,tokens,parse_error,idx,claim,chart_img,ground_truth
google/gemini-3-flash-preview,agent2,contradicted,1.0,"The chart shows a downward trend where Individual Editor 15 has the lowest number of edits (closest to 0), whereas Editor 8's edits are significantly higher at around 50.",2.53,1424,False,30,The fewest amount of edits was done by Individual Editor 8.,https://chartfc.s3.amazonaws.com/Edits_to_WPNOR.png,False
google/gemini-3-flash-preview,agent2,contradicted,1.0,"The highest value of moths observed is 10 (Branches > 5cm) and the lowest value is 1 (Exposed/Unexposed trunk); the difference between these is 9, not 5.",2.18,1408,False,31,The difference between the highest value of number of moths obsverd  and the lowest is 5.,https://chartfc.s3.amazonaws.com/Peppered_moth_resting_positions_2001-2003.png,False
google/gemini-3-flash-preview,agent2,contradicted,1.0,"The legend shows that the '2015 Wimbledon Championships' is represented by a light teal/green line, not a black line. There is no black line in the chart or the legend.",2.84,1398,False,32,Black line is used to show 2015 Wimbledon Championships.,"https://chartfc.s3.amazonaws.com/Page_view_data_for_ITN,_14_July_2015.png",False
google/gemini-3-flash-preview,agent2,contradicted,0.9,"The line for '2015 Wimbledon Championships' (teal) is consistently higher than the line for 'Greek government-debt crisis' (orange) for almost the entire duration shown, except for a brief overlap around July 6.",2.14,1409,False,33,The 2015 Wimbledon champions usually has less page views than Greek government.,"https://chartfc.s3.amazonaws.com/Page_view_data_for_ITN,_14_July_2015.png",False
google/gemini-3-flash-preview,agent2,contradicted,1.0,"The green line representing 'World' energy demand per capita is consistently below the 2,000 mark on the y-axis for the entire period from 1991 to 2011.",2.31,1392,False,34,"From 1992 through 2010, energy demand per capita for the world remained above 2000.",https://chartfc.s3.amazonaws.com/Germany.jpg,False
google/gemini-3-flash-preview,agent2,contradicted,1.0,"The pie chart explicitly labels 'Culture' at 10% and 'Police' at 18%, meaning Police makes up a larger percentage than Culture.",2.08,1380,False,35,Culture makes up a larger percentage of government than Police.,https://chartfc.s3.amazonaws.com/Societism_basics.png,False
google/gemini-3-flash-preview,agent2,contradicted,1.0,"The pie chart shows that Energy and Culture each represent 10% of the priorities, while Defense, Infrastructure, and Education are each higher at 20%.",1.36,1387,False,36,Energy and Culture are the most important government priorities in the Societism ideology.,https://chartfc.s3.amazonaws.com/Societism_basics.png,False
google/gemini-3-flash-preview,agent2,contradicted,1.0,"The pie chart explicitly labels 'Authorized military' as 9% and 'Authorized civilians' as 35%, which are clearly not equal portions.",1.91,1362,False,37,The chart shows equality in authorized military and authorized civilians portions.,https://chartfc.s3.amazonaws.com/Figure_2-_Percentage_of_Authorized_Military_and_Civilian_Positions_and_Estimated_Contractor_Full-Tim.jpg,False
google/gemini-3-flash-preview,agent2,contradicted,1.0,The 'Unemployment' bar chart explicitly shows that the North East has a higher unemployment rate (10.3%) than both the South East (6.0%) and the South West (6.0%).,2.58,1405,False,38,Unemployment rate is lower in north east region compared to south east and south west.,https://chartfc.s3.amazonaws.com/Regional_profile_of_the_South_East.png,False
google/gemini-3-flash-preview,agent2,contradicted,0.9,"The chart shows the South East unemployment rate for Q2 2013 was 6.0%, which is significantly lower than the North East rate of 10.3% shown in the same graph.",1.44,1409,False,39,The South East region of the UK had a high unemployment rate in mid-2013.,https://chartfc.s3.amazonaws.com/Regional_profile_of_the_South_East.png,False
google/gemini-3-flash-preview,agent2,contradicted,1.0,"Truck transportation occupies exactly half (50%) of the pie chart, while the combined slices for Wholesale trade and Iron and steel mills are significantly smaller than that half-circle.",2.01,1417,False,40,The total of Iron and steel mills with Wholesale trade is bigger than Trunck transportation.,https://chartfc.s3.amazonaws.com/CO_clay.gif,False
google/gemini-3-flash-preview,agent2,contradicted,1.0,"The provided image is a pie chart, not a bar chart, so there are no 'bars' to compare. Additionally, green represents a specific category ('Sand, gravel, clay, and refractory mining') rather than a mathematical difference between other categories.",1.56,1429,False,41,The difference between the two biggest bars of the chart shows with green color.,https://chartfc.s3.amazonaws.com/CO_clay.gif,False
google/gemini-3-flash-preview,agent2,contradicted,0.9,The typical American diet (top chart) shows a carbohydrate slice (light blue) that is visually much smaller than the carbohydrate slices in the Pruitt Diet and the Okinawan Diet charts.,2.01,1400,False,42,The typical American diet is higher in carbohydrates compared to the other three diets shown in the pie chart.,https://chartfc.s3.amazonaws.com/Ketogenic_diets_pie.png,True
google/gemini-3-flash-preview,agent2,contradicted,1.0,"The 'Classic' ketogenic diet visually has the largest blue segment representing fat (90%), while the MCT oil diet has a significantly smaller combined fat percentage (73%) represented by two different shades of blue.",1.46,1398,False,43,The MCT oil ketogenic diet has the highest percentage of calories from fat.,https://chartfc.s3.amazonaws.com/Ketogenic_diets_pie.png,True
google/gemini-3-flash-preview,agent2,supported,1.0,"The pie chart explicitly shows that South America accounts for 12% of global soybean meal consumption, while Southeast Asia accounts for 8%.",2.47,1378,False,44,Soybean meals are consumed more in South America than in Southeast Asia,https://chartfc.s3.amazonaws.com/Global_Soybean_Meal_Consumption_(11717587375).jpg,True
google/gemini-3-flash-preview,agent2,supported,1.0,"The pie chart explicitly labels East Asia with the highest consumption percentage at 32% for the 2012/13 period, which is significantly larger than any other region shown.",1.74,1401,False,45,East Asia stands at top in terms of global soyabean meal consumtion in 2012-13.,https://chartfc.s3.amazonaws.com/Global_Soybean_Meal_Consumption_(11717587375).jpg,True
google/gemini-3-flash-preview,agent2,supported,1.0,"The title of the chart is 'Media Items Uploaded by Percentage (n=55)', and the y-axis is explicitly labeled as 'Percentage'.",3.29,1382,False,46,The chart shows that the Media Items Uploaded By percentage.,https://chartfc.s3.amazonaws.com/Structured_Media_Commons_Survey_2017_Findings_-_Media_Items_Uploaded.png,True
google/gemini-3-flash-preview,agent2,contradicted,1.0,"Historical Artifacts is labeled as 58% and Famous Photos is visually approximately 15%; the difference is clearly over 40 percentage points, which is much greater than 20.",1.56,1395,False,47,The difference between Historical articats and famous photos is less than 20.,https://chartfc.s3.amazonaws.com/Structured_Media_Commons_Survey_2017_Findings_-_Media_Items_Uploaded.png,False
google/gemini-3-flash-preview,agent2,supported,1.0,The legend in the bottom left corner explicitly assigns the green color box to the label 'Bernie Sanders'.,2.81,1387,False,48,Bernie Sanders' gap is shown in green color on the chart.,https://chartfc.s3.amazonaws.com/Dem_gap.png,True
google/gemini-3-flash-preview,agent2,contradicted,1.0,The chart tracks the 'Delegate gap' between Bernie Sanders and Hillary Clinton during a Democratic primary; it does not contain any data regarding Republican versus Democratic voter registration.,2.21,1413,False,49,The chart shows that the number of registered Republican voters has been consistently higher than the number of registered Democratic voters in the United States over time.,https://chartfc.s3.amazonaws.com/Dem_gap.png,False
google/gemini-3-flash-preview,agent2,contradicted,1.0,"The chart shows that only 2 people dislike the color (red), which is the smallest category and not a majority of the 17 total respondents.",2.98,1414,False,50,Majority of the community dislike the color of the Wikimedia logo.,https://chartfc.s3.amazonaws.com/WM_3.png,False
google/gemini-3-flash-preview,agent2,supported,1.0,"The sum of people who dislike the color (2) and those who say it doesn't relate (3) equals 5, which is exactly equal to the number of people who don't understand the meaning (5).",2.09,1449,False,51,The amount of the people who don't like the color and doesn't relate to Wikimedia is equal to the people who don't understand the meaning.,https://chartfc.s3.amazonaws.com/WM_3.png,True
google/gemini-3-flash-preview,agent2,supported,1.0,The chart explicitly shows two blue bars (for 'Land Area sq. ft' and the final bar) that both reach the 5000 line on the y-axis and contain the number 5000 in a red box.,2.37,1450,False,52,There are two equivalent blocks on the chart with value 5000.,https://chartfc.s3.amazonaws.com/FR_Land.JPG,True
google/gemini-3-flash-preview,agent2,supported,1.0,"The chart shows the Land Area (LE) is 5000 sq. ft. and the final bar, representing Land FPA plus the excess area up to 50% of FPA, also equals 5000 sq. ft.",1.45,1464,False,53,The excess as for the land area (sq. ft.) is as equal as the land FPA with 50% added.,https://chartfc.s3.amazonaws.com/FR_Land.JPG,True
google/gemini-3-flash-preview,agent2,supported,1.0,The highest bar is labeled 5000 and the lowest bar is labeled 1250; the difference between them is 3750 (5000 - 1250 = 3750).,1.6,1450,False,54,The difference value between highest and lowest bloks is 3750.,https://chartfc.s3.amazonaws.com/FR_Land.JPG,True
google/gemini-3-flash-preview,agent2,supported,1.0,"The pie chart explicitly shows that the 'Awards Event' (Bill 5) accounts for 53.8% of the expenditure, which is a clear majority (over 50%).",1.96,1406,False,55,The majority of expenditure in the WLM-ZA-2012 dataset is allocated to Awards event.,https://chartfc.s3.amazonaws.com/Chart_8_-_WLM-ZA-2012.png,True
google/gemini-3-flash-preview,agent2,contradicted,1.0,"Bill 5: Awards Event corresponds to the pink slice of the pie chart, which is labeled as 53.8%, making it the largest percentage, not the smallest.",1.36,1403,False,56,Bill 5: Awards Event is the smallest percentage in Expenditure split - WLM-ZA-2012,https://chartfc.s3.amazonaws.com/Chart_8_-_WLM-ZA-2012.png,False
google/gemini-3-flash-preview,agent2,contradicted,1.0,"The bar chart clearly shows that Gallium Arsenide has the highest power conversion efficiency (above 20%), while Nickel Oxide is significantly lower (below 10%).",2.39,1407,False,57,Nickel has the highest power conversion efficiency.,https://chartfc.s3.amazonaws.com/Power_Conversion_Efficiency.jpg,False
google/gemini-3-flash-preview,agent2,contradicted,0.9,"Gallium Arsenide is slightly below the 25.00% mark (around 22-23%), while Nickel Oxide is around the 5.00% mark; the difference between them is roughly 17-18%, not 10.00%.",1.51,1446,False,58,The difference value between Gallium Arsenide and Nickle oxide is about 10.00%.,https://chartfc.s3.amazonaws.com/Power_Conversion_Efficiency.jpg,False
google/gemini-3-flash-preview,agent2,supported,1.0,"The bar chart clearly shows Gallium Arsenide with a power conversion efficiency over 20%, which is significantly higher than both Nickel Oxide (approx. 5-7%) and Cadmium Selenide (approx. 1-2%).",1.36,1434,False,59,Gallium Arsenide has the higher power conversion efficiency than Nickel Oxide and Cadmium Selenide.,https://chartfc.s3.amazonaws.com/Power_Conversion_Efficiency.jpg,True
google/gemini-3-flash-preview,agent2,contradicted,1.0,"The pie chart shows that Metal Mining accounted for 37% of releases in 2015, while Electric Utilities accounted for only 13%.",2.58,1417,False,60,The metal mining industry released less toxic chemicals than the electric utilities industry in 2015.,https://chartfc.s3.amazonaws.com/Total_Disposal_or_Other_Releases_by_Industry-2015_TRI_chart.png,False
google/gemini-3-flash-preview,agent2,contradicted,1.0,"The yellow line representing 'Total expenses' shows a clear and steady upward trend from near zero in 2004 to over $100,000,000 in 2020.",2.03,1409,False,61,There has been an overall decrease in total expenses from 2004-2020,"https://chartfc.s3.amazonaws.com/Wikimedia_Foundation%2527s_liabilities-assets,_support-revenue_and_expenses_evolution.png",False
google/gemini-3-flash-preview,agent2,contradicted,1.0,"The bar for 2015 is clearly taller than the bar for 2014, indicating that annual tonnage increased rather than decreased.",3.59,1404,False,62,Annual Tonnage went down from 2014 to 2015.,https://chartfc.s3.amazonaws.com/Lock_and_dam_24.png,False
google/gemini-3-flash-preview,agent2,contradicted,1.0,"The x-axis labels clearly show the data range starts in 1996 and ends in 2015, not 1990 to 2020.",1.78,1415,False,63,Time frame of the chart is from 1990 to 2020 years.,https://chartfc.s3.amazonaws.com/Lock_and_dam_24.png,False
google/gemini-3-flash-preview,agent2,contradicted,1.0,"The pie chart explicitly labels Football's attendance at 18% and Baseball's attendance at 24%, showing that Football is lower than Baseball.",2.25,1399,False,64,Attendance percentage of Football is higher than Baseball.,"https://chartfc.s3.amazonaws.com/Kingdome_usage,_1980_(32523178267).jpg",False
google/gemini-3-flash-preview,agent2,contradicted,1.0,"The 'Sí (%)' line represented by orange squares is consistently at the top of the chart (around 90%), while the 'Blanc (%)' line represented by grey triangles is near the bottom (below 10%).",2.08,1382,False,65,The Blanc percentage is higher than Si.,https://chartfc.s3.amazonaws.com/Referendums2009-2010.png,False
google/gemini-3-flash-preview,agent2,contradicted,1.0,"The line graph clearly shows an upward trend between 1990 and 2000, with the y-value for the year 2000 being higher (above 100,000) than the y-value for 1990 (below 100,000).",2.0,1424,False,66,There are less patents in 2000 than in 1990.,https://chartfc.s3.amazonaws.com/PPTPatentsLOG-25.jpg,False
google/gemini-3-flash-preview,agent2,contradicted,1.0,"The sum of Insurance Companies (1.30%) and Mutual Funds (4.74%) is 6.04%, while the sum of Foreign and International (27.90%) and Private Pensions (2.38%) is 30.28%, which are not equal.",2.45,1441,False,67,The total value of Insurance  companies and Mutual Funds is equal with foreign and international and private-pensions.,https://chartfc.s3.amazonaws.com/Estimated_ownership_of_US_Treasury_securities_by_category_0608.jpg,False
google/gemini-3-flash-preview,agent2,contradicted,1.0,"The highest value is 49.37% and the third highest value is 5.50%. The difference between them is 43.87%, which is significantly higher than 20%.",1.6,1419,False,68,The difference between the first highest value and the third highest value is about 20%.,https://chartfc.s3.amazonaws.com/Estimated_ownership_of_US_Treasury_securities_by_category_0608.jpg,False
google/gemini-3-flash-preview,agent2,contradicted,1.0,"The line graph shows significant visual fluctuations and sharp peaks, particularly around the 0, 140, and 300 marks on the x-axis, contradicting the claim of a constant level.",1.92,1382,False,69,The level of sound stayed the same throughout the time period.,https://chartfc.s3.amazonaws.com/Sonar_data_graph.png,False
google/gemini-3-flash-preview,agent2,contradicted,1.0,"In the category 'General or unsuspected commodities', the blue bar (males) is significantly higher than the red bar (females), which is nearly zero.",1.82,1397,False,70,"In 1881, females outnumbered males in the general or unsuspected commodities type work.",https://chartfc.s3.amazonaws.com/1881_occupational_structure.jpg,False
google/gemini-3-flash-preview,agent2,supported,1.0,"The pie chart shows that nuclear energy accounted for 57.0% of electricity generation in South Carolina in 2016, which is greater than the 43.0% sum of all other sources combined.",2.71,1420,False,71,Nuclear energy made up more than all the other electrical generation combined in South Carolina in 2016.,https://chartfc.s3.amazonaws.com/South_Carolina_Electricity_Generation_Sources_Pie_Chart.png,True
google/gemini-3-flash-preview,agent2,supported,1.0,"The pie chart explicitly labels Actinomycetes at 28%, which is the highest percentage shown among all categories (the next highest being Bacillus at 23%).",2.08,1392,False,72,The largest percent of the total is Actinomycetes.,https://chartfc.s3.amazonaws.com/Dar_sad_actinomycet.png,True
google/gemini-3-flash-preview,agent2,contradicted,0.95,"In 2006, Quebec is at approximately 40.0% and ROC is at approximately 10.0%, meaning their total sum would be roughly 50.0%, not 40.0%.",2.0,1408,False,73,"In 2006, the total of ROC and Quebec is 40% of the chart.",https://chartfc.s3.amazonaws.com/Rates_of_Bilingualism_in_Canada_1941-2006.JPG,True
google/gemini-3-flash-preview,agent2,supported,0.95,"The largest segment of the chart (46%) corresponds to 'Not at all', which is synonymous with 'Totally unfamiliar', while the other categories combined make up the remaining 54% but individually lack a majority.",2.03,1449,False,74,"The results of a poll asking ""How familiar are you with the way Wikimedia projects and translatewiki.net interact?"" show that most people are Totally unfamiliar with it.",https://chartfc.s3.amazonaws.com/Signpost_poll_22_(translatewiki.net).png,True
google/gemini-3-flash-preview,agent2,supported,1.0,"The line graph clearly shows that the value of Cyflymder increases as Amser increases, reaching its highest point (approximately 45 metr/eiliad) at the final plotted data point of 6.0 eiliad.",13.57,1429,False,75,The highest value of Cyflymder (speed) in metr/eiliad is reached at 6.0 eiliad(seconds).,https://chartfc.s3.amazonaws.com/ScientificGraphSpeedVsTime_cy.png,True
google/gemini-3-flash-preview,agent2,supported,1.0,The chart shows Safari at 13.49% and Android at 3.26%. Subtracting 3.26% from 13.49% equals exactly 10.23%.,13.58,1417,False,76,The different used between Safari and Android is 10.23%.,https://chartfc.s3.amazonaws.com/Browser_Usage_on_Wikipedia_February_2012.png,True
google/gemini-3-flash-preview,agent2,contradicted,0.1,"The chart contains no text labels, titles, or axis names, making it impossible to identify any data point as 'Amser 1.0'.",1.49,1400,False,77,Amser 1.0 is in the highest position of this chart,https://chartfc.s3.amazonaws.com/ScientificGraphSpeedVsTime_cy.png,False
google/gemini-3-flash-preview,agent2,supported,1.0,"The sum of Safari (15.87%) and Chrome (27.25%) is 43.12%. Subtracting I.E. (23.65%) gives 19.47%, which matches the claim.",2.33,1430,False,78,The amount of total value for Safari and chrome is 19.47% higher than I.E. on Wikimedia August 2012.,https://chartfc.s3.amazonaws.com/Wikimedia_browser_share_pie_chart_3.png,True
google/gemini-3-flash-preview,agent2,contradicted,1.0,"The average of Android (4.75%), Firefox (18.87%), and Opera (4.59%) is approximately 9.4%, which is significantly lower than the claimed 15%.",1.57,1408,False,79,The average usage of Android and Firefox and opera is about 15% of the chart.,https://chartfc.s3.amazonaws.com/Wikimedia_browser_share_pie_chart_3.png,False
google/gemini-3-flash-preview,agent2,contradicted,1.0,"The line for the Tas. Liberal Party (blue) stays consistently above the line for the Tas. Greens (green) across the entire timeline, with the Liberal Party polling between 36-54% while the Greens stay between 10-16%.",2.43,1423,False,80,The Green Party has the higher polls than the Liberal Party.,https://chartfc.s3.amazonaws.com/Tas._Election_Polling_Chart.png,False
google/gemini-3-flash-preview,agent2,contradicted,0.9,"At the wavelength of 1000 nm (the far right edge of the x-axis), the red curve (HbO2) is clearly above the blue curve (Hb), meaning HbO2 has a higher absorption coefficient than Hb at that value.",1.95,1453,False,81,The absorption coefficient for HbO2 at wavelength of 1000 is less than that for Hb at the same values.,https://chartfc.s3.amazonaws.com/Figure_1-_The_absorption_spectra_of_HbO2_and_Hb.jpg,False
google/gemini-3-flash-preview,agent2,supported,1.0,"The bar chart for 'Total Economic Activity' shows that 'Operation' has the tallest bar, reaching approximately $73 million, which is higher than any other phase shown.",2.7,1390,False,82,The highest value for economic activity of a wind farm is during the operation phase.,https://chartfc.s3.amazonaws.com/WindECO.JPG,True
google/gemini-3-flash-preview,agent2,supported,0.9,The Agriculture bar is exactly at 40 and the 'Unknown occupation/illegible' bar extends to 55; the average of these two values is (40 + 55) / 2 = 47.5.,2.11,1426,False,83,The average of workers in Agriculture and Unknown occupation/ illegible is about 47.5,"https://chartfc.s3.amazonaws.com/1881_occupational_structure_of_Ripple,_Kent.jpg",True
