pptx_file,slide_num,img_path,img_type,explanation
All Recipes - IS 296 Project_Mini Update.pptx,20,Github/Fact-Check-AI-Agent/data/student slide/extracted/All_Recipes___IS_296_Project_Mini_Update/slide020_img02.png,chart,"ANALYSIS: This scatter plot shows every recipe in the dataset as a single dot, with calories per serving on the x-axis and the average rating on the y-axis. What immediately gets my attention is how dense the left side is with the vast majority of recipes cluster under 500 calories. They span the full range of ratings from 1 to 5. As calories go up past 1,000, the dots get sparse but they still reach ratings of 4 and 5. This tells us that calorie count doesn't really explain how well a recipe is rated and how people enjoy both light and heavy dishes equally. The graph answers part of my curious question by showing that high calorie recipes aren't penalized in ratings, which means popularity is driven by something other than nutrition. | Graph between Calories & Ingredients"
All Recipes - IS 296 Project_Mini Update.pptx,21,Github/Fact-Check-AI-Agent/data/student slide/extracted/All_Recipes___IS_296_Project_Mini_Update/slide021_img03.png,chart,"ANALYSIS: I looked at the proportion of calories from fat the equation is (9xfat in grams)/total calories. Then, I created a histogram to demonstrate the distribution of recipes based on fat proportion, or the amount of calories in a recipe from fat. The ideal fat proportion sits somewhere around 20-30% (ideally 25-25-50 for fat protein and carbs, the three macronutrients of our diets). However, the graph shows that the majority of recipes are from 30%-50% calories from fat, which is moderately high. However, there are more low-fat recipes than there are high high fat recipes. | Distribution of recipes based on fat proportion"
All Recipes - IS 296 Project_Mini Update.pptx,22,Github/Fact-Check-AI-Agent/data/student slide/extracted/All_Recipes___IS_296_Project_Mini_Update/slide022_img03.png,chart,"ANALYSIS: I grouped the recipes by country and sorted them by average calories, and Swiss recipes were the highest calories at an average of 386.5, and Argentinian recipes had the lowest average calories of 292.2. I then looked at the ingredients for all argentinian and swiss recipes, and used AI to clean the ingredients lists into arrays, dropping the measurements and instructions. I kept the top ten most commonly recurring ingredients for both countries and used AI to compare the proportion of recipes that have each ingredient (because comparing counts wouldnt be helpful when the countries have different amounts of total recipes. The graph shows argentinian recipes mostly have ingredients that are low calorie like vinegar, veggies, and seaonsing. In comparison, swiss recipes have more flour and sugar, which are calorically dense. There arent many major differences, however. Salt, of course, is the top ingredient for both, because all food needs salt. | Most common ingredients for swiss and argentinian recipes"
All Recipes - IS 296 Project_Mini Update.pptx,27,Github/Fact-Check-AI-Agent/data/student slide/extracted/All_Recipes___IS_296_Project_Mini_Update/slide027_img02.png,chart,"For this part of the project, I answered the curious question, ‘Which recipes are the most popular? Do they prefer to bake sweet or savory dishes? High or low calorie?’. Figure 1 demonstrates the top 10 most popular recipes in the data whereas Figure 2 presents a scatter plot showing the average rating and the number of ratings in ALL the recipes included in the data. For both of the figures, I made sure to include the highest average rating while also looking at the total number of reviewers. From looking at Figure 2, I noticed that it was less common to get a 5.0 rating. I observed how a 5.0 rating had fewer total ratings compared to 4.0-4.9 ratings. Ratings that ranged from 4.0 to 4.9 had an increased number of total ratings. I think this is because when there are more people reviewing a recipe, the average rating decreases due to the fact that more people are trying it and may not like it as much."
All Recipes - IS 296 Project_Mini Update.pptx,27,Github/Fact-Check-AI-Agent/data/student slide/extracted/All_Recipes___IS_296_Project_Mini_Update/slide027_img03.png,chart,"For this part of the project, I answered the curious question, ‘Which recipes are the most popular? Do they prefer to bake sweet or savory dishes? High or low calorie?’. Figure 1 demonstrates the top 10 most popular recipes in the data whereas Figure 2 presents a scatter plot showing the average rating and the number of ratings in ALL the recipes included in the data. For both of the figures, I made sure to include the highest average rating while also looking at the total number of reviewers. From looking at Figure 2, I noticed that it was less common to get a 5.0 rating. I observed how a 5.0 rating had fewer total ratings compared to 4.0-4.9 ratings. Ratings that ranged from 4.0 to 4.9 had an increased number of total ratings. I think this is because when there are more people reviewing a recipe, the average rating decreases due to the fact that more people are trying it and may not like it as much."
All Recipes - IS 296 Project_Mini Update.pptx,28,Github/Fact-Check-AI-Agent/data/student slide/extracted/All_Recipes___IS_296_Project_Mini_Update/slide028_img02.png,chart,"In the bar chart, are listed, the top 10 most popular recipes and their given calories. For the items, ‘Pumpkin Swirl Cheesecake’ and ‘Peanut Butter and Banana Dog Biscuits’, the calorie number is not listed. Looking at the other recipes, I see that most of the popular recipes have a higher number of calories and there are very few recipes that have less than 300 calories. I also notice that most of the recipes range from 300 to 500 calories. Although, you cannot tell whether the recipe is a sweet or savoury dish, you can definitely pay attention to the details in the ingredients, name, and/or images of that specific dish."
All Recipes - IS 296 Project_Mini Update.pptx,29,Github/Fact-Check-AI-Agent/data/student slide/extracted/All_Recipes___IS_296_Project_Mini_Update/slide029_img03.png,chart,"I see how high the average and total ratings are of the recipes/cuisines by the consumers and the groups of people who tried making the food. The recipes have gotten a 1.0 star rating or higher. Though it ranges solely between the 4.0 and 5.0 star rating which is a good sign. Around 1000 people rated the food after they made it. I also see that almost all of these recipes have high ratings because of certain factors including ingredients, cook preparation, feasibility of making the food, the calories, etc. These recipes that attract large numbers of reviewers tend to be well-liked as a whole. There are very few highly-rated recipes with over 800 total ratings, indicating that most popular recipes still sit in a moderate range of engagement."
All Recipes - IS 296 Project_Mini Update.pptx,30,Github/Fact-Check-AI-Agent/data/student slide/extracted/All_Recipes___IS_296_Project_Mini_Update/slide030_img02.png,chart,"The vast majority of recipes in the dataset have a cook time under 30 minutes, with the tallest bar sitting between 15 and 30 minutes. After that, the count drops sharply and continues to fall gradually as cook times increase toward 300 minutes. This right-skewed distribution shows that most recipes on the platform are designed to be quick, with only a small number of dishes requiring lengthy cooking times like braises or slow roasts. The graph has one dominant tall bar on the left side of the chart that towers over everything else, then the bars rapidly shrink as you move right toward longer cook times. When you reach the 150 minute bar, they are hardly visible, and beyond 200 minute bar, they are almost flat against the x-axis. The shape looks like a skewed cliff dropping off to the right side, making it known that short cook times take a lead in this dataset."
All Recipes - IS 296 Project_Mini Update.pptx,31,Github/Fact-Check-AI-Agent/data/student slide/extracted/All_Recipes___IS_296_Project_Mini_Update/slide031_img03.png,chart,"I was curious about whether recipes were rated higher based on a high caloric value (implying higher sugar and fat content, and a better over-all tasting recipe). However, the table didn’t have calories per serving, so I divided the calories column by the servings column, and threw out the one recipe which said an entire 5000 calorie pie was one serving. Overall, I identified a slight trend, but after using ai to find the r value of 0.02, I have determined that the strength of the correlation between these two variables as a linear relationship is SUPER weak. However, there is definitely a visual trend, so maybe the trend is a non-linear relationship. This shows that maybe higher calorie foods taste better and in turn get higher ratings."
All Recipes - IS 296 Project_Mini Update.pptx,32,Github/Fact-Check-AI-Agent/data/student slide/extracted/All_Recipes___IS_296_Project_Mini_Update/slide032_img03.png,chart,"This scatterplot addresses the relationship between the total time (cook time and prep time) and the serving size for a recipe. I was curious to know if bigger recipes took longer to make. Honestly, I don’t see much of anything but the slight trend I do see is the opposite direction of what I expected. There are also too many data points to really see any clear trend. The story being told here is unclear."
F1_DataStory.pptx,4,Github/Fact-Check-AI-Agent/data/student slide/extracted/F1_DataStory/slide004_img02.png,chart,"This bar chart shows the lap time of the winner for the first Grand Prix of the year, with the average time others were behind the winning lap time. This bar chart also shows the average amount of points each lap time earns by the length of the bars. It can be seen that the faster the lap time is the more points are awarded."
F1_DataStory.pptx,5,Github/Fact-Check-AI-Agent/data/student slide/extracted/F1_DataStory/slide005_img01.png,chart,"On this bar chart we can see that not everyone gets points even if they finished the race. Only the top ten receive points, and the points get lower, the farther away the lap times get from the winning time."
F1_DataStory.pptx,6,Github/Fact-Check-AI-Agent/data/student slide/extracted/F1_DataStory/slide006_img01.png,chart,"The table shows whether or not a driver got the fastest lap or not. It is more common for a driver that wins or finishes in a higher position to get the fastest lap as well. There are some outliers however, such as the DQ driver, which stands for disqualified, and the driver that got fastest but finished in 6th."
F1_DataStory.pptx,6,Github/Fact-Check-AI-Agent/data/student slide/extracted/F1_DataStory/slide006_img02.png,chart,"The table shows whether or not a driver got the fastest lap or not. It is more common for a driver that wins or finishes in a higher position to get the fastest lap as well. There are some outliers however, such as the DQ driver, which stands for disqualified, and the driver that got fastest but finished in 6th."
F1_DataStory.pptx,7,Github/Fact-Check-AI-Agent/data/student slide/extracted/F1_DataStory/slide007_img01.png,chart,"This table shows the lap time of all the drivers that got the fastest lap of the race for every race of the season. The ‘Time/Retired’ column shows the amount of time it took each driver to finish the race. If the number has a + in front of it, then it is the amount of time they finished behind 1st place, since they finished lower than 1st. The ‘Fastest Lap Time’ column shows the actual time of the fastest lap set in the race."
F1_DataStory.pptx,8,Github/Fact-Check-AI-Agent/data/student slide/extracted/F1_DataStory/slide008_img01.png,chart,"This chart shows the overall average of points each team scored over the entire 2025 season. We can see that based on points, McLaren won the Constructors Championship, and from the other’s points we can figure out the standing order of each team by the end of the season."
F1_DataStory.pptx,9,Github/Fact-Check-AI-Agent/data/student slide/extracted/F1_DataStory/slide009_img02.png,chart,"This chart shows the overall average of points each driver scored over the entire 2025 season. We can see that based on points, Lando Norris won the Drivers Championship, and from the other’s points we can figure out the standing order of the drivers by the end of the season. Comparing this with the overall team average points shows how many points each driver contributed to the team as well."
F1_DataStory.pptx,10,Github/Fact-Check-AI-Agent/data/student slide/extracted/F1_DataStory/slide010_img01.png,chart,Top 3 Championship Driver’s Starting vs. Finishing Positions
F1_DataStory.pptx,10,Github/Fact-Check-AI-Agent/data/student slide/extracted/F1_DataStory/slide010_img02.png,chart,Top 3 Championship Driver’s Starting vs. Finishing Positions
F1_DataStory.pptx,10,Github/Fact-Check-AI-Agent/data/student slide/extracted/F1_DataStory/slide010_img03.png,chart,Top 3 Championship Driver’s Starting vs. Finishing Positions
F1_DataStory.pptx,12,Github/Fact-Check-AI-Agent/data/student slide/extracted/F1_DataStory/slide012_img01.png,chart,
Florish - PI Project Video Games.pptx,5,Github/Fact-Check-AI-Agent/data/student slide/extracted/Florish___PI_Project_Video_Games/slide005_img02.png,chart,"Insight #1 - Do games with longer reviews correlate with higher ratings? | Ratings seem to have no strong correlation with the length of reviews. Games of similar ratings span all level of review lengths Most long reviews are for highly reviewed games, and vice versa. | This graph indicates that review length does not indicate game quality, majority of the time."
Florish - PI Project Video Games.pptx,6,Github/Fact-Check-AI-Agent/data/student slide/extracted/Florish___PI_Project_Video_Games/slide006_img02.png,chart,Insight #2 - Is there a correlation between high rating and high wishlist amount? | There is a strong correlation between the quality of a game and the amount of wishlist saves it has. This indicates that high rated games may generate more buzz and conversation around them leading others to wish to buy it.
Florish - PI Project Video Games.pptx,7,Github/Fact-Check-AI-Agent/data/student slide/extracted/Florish___PI_Project_Video_Games/slide007_img02.png,chart,Insight #3 - Do longer summaries equate to higher reviews? | There is no strong correlation between rating and summary length. The correlation here is much less concrete than in insight #1 referring to review length. This most likely is because this is less about customer opinion and more about what the objective description of the game is. This could also indicate that game depth or complexity does not have any impact on customer satisfaction.
Florish - PI Project Video Games.pptx,8,Github/Fact-Check-AI-Agent/data/student slide/extracted/Florish___PI_Project_Video_Games/slide008_img02.png,chart,"Insight #4 - Do games with bigger teams behind them get higher ratings? | There seems to be no strong correlation between the size of teams and the rating the game obtains. All 3 standard team sizes obtain a wide range of ratings. Although 3 has the lowest sample size, it does have the highest average rating This graph indicates that team size does not generally matter for game quality."
Florish - PI Project Video Games.pptx,9,Github/Fact-Check-AI-Agent/data/student slide/extracted/Florish___PI_Project_Video_Games/slide009_img02.png,chart,"Insight #5 - What is the most common genre? | The most common genre combination is Adventure/RPG by a significant margin, then followed by Adventure/Platform and Adventure/Shooter. Adventure as a base genre appears consistently across nearly all top combinations, suggesting it is the dominant genre in the dataset. Pure single-genre games like just 'Shooter' or 'Adventure' alone still rank in the top 10, but most games tend to blend multiple genres together. This graph indicates that Adventure is the backbone genre of the dataset, and developers rarely release games under a single genre label."
Florish - PI Project Video Games.pptx,10,Github/Fact-Check-AI-Agent/data/student slide/extracted/Florish___PI_Project_Video_Games/slide010_img02.png,chart,Insight #6 - How spread out are data scores? Are some scores rarer than others? | A vast majority of video game ratings are concentrated between ~3.3+ to the 4 range. The number of ratings seem to strongly taper off when getting closer to the ~4.7 range or higher. The same can be sad for the inverse as it approaches the 3 rating range. This suggest that most users are happy with their purchases and very little have strong regrets.
Florish - PI Project Video Games.pptx,12,Github/Fact-Check-AI-Agent/data/student slide/extracted/Florish___PI_Project_Video_Games/slide012_img02.png,chart,"Insight #7 - Has the average game rating changed over the years? | I set the dataset from 2001-20021, because of the short list of games outside those years leading to misleading ratings. The average game rating has been largely unstable. Since 2001, game ratings have seen as high as a ~3.9/5 average rating and as low as 3.5/5 average rating. This indicates that time may not have much effect on the quality or enjoyment level of games."
Florish - PI Project Video Games.pptx,13,Github/Fact-Check-AI-Agent/data/student slide/extracted/Florish___PI_Project_Video_Games/slide013_img02.png,chart,"Insight #8 - Have games been getting more genres added to them over the years? | Genre count has steadily rose over the years. The amount of games released in each year may skew the mean but the graph still shows strong overall growth across all time periods. Though overall growth is positive, it’s not very steady seeing consistent drops as the graph moves over time. We can infer from this increase that as time passes more genres are explored and more games opt to mix and add these genres."
Florish - PI Project Video Games.pptx,14,Github/Fact-Check-AI-Agent/data/student slide/extracted/Florish___PI_Project_Video_Games/slide014_img02.png,chart,"Insight #9 - Has the length of reviews increased over the years? | The graph shows no strong upward or downward trend in review length over time. Review lengths fluctuate consistently between roughly 160-320 words across all years, with no clear direction. The most notable spikes appear in the early 1990s and around 2000, but these may be due to fewer games being released those years, skewing the mean upward. This indicates that despite gaming communities growing significantly over time, the depth at which individual users write about games has remained largely the same."
Florish - PI Project Video Games.pptx,15,Github/Fact-Check-AI-Agent/data/student slide/extracted/Florish___PI_Project_Video_Games/slide015_img02.png,chart,"Insight #10 - How have plays, wish lists, and backlogs changed over the years? | Plays mean has seen consistent overall growth since the mid 1980s, peaking around 2010-2011 before slightly declining. Wishlist and Backlogs mean have both grown steadily at a similar pace to each other, remaining significantly lower than plays throughout. The large gap between plays and the other two metrics suggests that as the gaming library grows, players are accumulating more games than they can realistically get through, leading to the steady rise in wishlists and backlogs alongside plays."
IS project Mini updates.pptx,2,Github/Fact-Check-AI-Agent/data/student slide/extracted/IS_project_Mini_updates/slide002_img01.png,chart,Week 5 Storyboard Brittany&Anna
IS project Mini updates.pptx,3,Github/Fact-Check-AI-Agent/data/student slide/extracted/IS_project_Mini_updates/slide003_img02.png,chart,"Mini Update 4-Data Insight Brittany | I made this graph to compare the total offensive rebounds by every NBA team in the 2021-2022 playoffs. I wanted to see if the offensive rebounds affected the whole performance of the team. Because GSW won the playoffs, it makes sense that they were third in this stat. What is interesting though is that the second place team, BOS, was 9th in this stat and they were the runner up in the playoffs. This tells me that offensive rebounds definitely help teams, but it is not the sole factor contributing to their wins. A team does not have to be that great at offensive rebounding, but if they are, it will definitely improve their chances at winning. I wonder if this is the case with defensive rebounds as well?"
IS project Mini updates.pptx,4,Github/Fact-Check-AI-Agent/data/student slide/extracted/IS_project_Mini_updates/slide004_img02.png,chart,"Mini Update 4- Data Insight Brittany | This graph shows the total defensive rebounds by every team in the 2021-2022 NBA playoffs. Because I saw that the offensive rebounds had some impact on the success of the team, I wanted to see if defensive rebounds had a similar pattern. What I found was that the top two finishing teams in the NBA playoffs were in the top 6 in defensive rebounds. The winning team was 4th, the runner up was 6th. The top teams in the playoffs were not the absolute best in defensive rebounds, but they still had good defensive rebounding numbers. Similar to the offensive rebounds, teams should still strive to be good at defensive rebounds, but it is not the end of the world if they are not. A team can still be successful if they are not particularly good at them, but if a team is good at defensive rebounding, it will definitely contribute to their success. I wonder if there is one particular stat that heavily correlates with the success of a team? What is a stat that immediately makes a teams chances of losing fall dramatically?"
IS project Mini updates.pptx,5,Github/Fact-Check-AI-Agent/data/student slide/extracted/IS_project_Mini_updates/slide005_img02.png,chart,"Mini Update 4: Data Insight Anna | I created this graph to compare the total free throws made by each NBA team during the 2021-2022 playoffs. The goal was to see which teams relied more on drawing fouls and scoring from the FT line. The results show clear differences in how often they reach the line. Interestingly GSW who won the championship that year, was second to last in FT made. This suggests their succes was not based on physical play or driving to the basket, but instead on their perimeter shooting. I will evalute this with my next graph."
IS project Mini updates.pptx,6,Github/Fact-Check-AI-Agent/data/student slide/extracted/IS_project_Mini_updates/slide006_img02.png,chart,Mini Update 4: Data Insight Anna | I created this graph to compare the total number of three pointers made by each team during the 2021-2022 playoffs. The goal was to analyze how teams relied on perimeter shooting as part of their offensive strategy. The result showed that GSW had the second highest number of 3P made among all playoff teams. Thus supports my original idea that GSW’s success is heavily driven by their 3P shooting ability. Their offense is showing to be centered around the perimiter.
IS project Mini updates.pptx,9,Github/Fact-Check-AI-Agent/data/student slide/extracted/IS_project_Mini_updates/slide009_img02.png,chart,"Mini Update 3- Data Insight: Anna | This histogram shows the distribution of players’ points per game (PPG) The majority of players average relatively low scoring outputs, with most only just above 0 points per game. Only a small number of players reach high scoring averages, showing that elite scoring performances are uncommon This pattern suggests that having many high scoring players on one team is rare This raises an interesting question, how would this distribution if we only looked at the top 10 ranked players?"
IS project Mini updates.pptx,10,Github/Fact-Check-AI-Agent/data/student slide/extracted/IS_project_Mini_updates/slide010_img02.png,chart,"Mini Update 3: Data Insight-Brittany | This is a histogram showing the distribution of the players points per game. Majority of the players averaged just above 0 points per game they played in Only a few players averaged high scoring games Having a lot of high Scoring players on a team is very rare This histogram shows that in the NBA playoffs, players are not just good because they can score a lot of points. There are many factors that can determine how good a player is. I wonder how different this histogram would look if I only used the stats from the top 10 ranked players? Would their data tail more to the right? Would it be more evenly distributed? If I only looked at the players of the best team in the NBA, would the data look similar to this graph?"
IS project Mini updates.pptx,13,Github/Fact-Check-AI-Agent/data/student slide/extracted/IS_project_Mini_updates/slide013_img02.png,chart,"Mini Update 2: Data Insight: Points and Assists(Brittany) | This scatter plot is showing the relationship between the amount of points every postseason player scored and the amount of assists(passes to a scorer) they had. I found this interesting because normally these two stats do not necessarily correlate in basketball, but if they do, that is better for the team The data on this plot means that the higher scoring players tend to pass a lot to other players who also score When this happens, it allows a team to score more points, which makes it easier to win Winning is essential in the NBA playoffs Since this plot looks like this with these players, will it be similar with PTS and Rebounds?"
IS project Mini updates.pptx,14,Github/Fact-Check-AI-Agent/data/student slide/extracted/IS_project_Mini_updates/slide014_img02.png,chart,"Data Insight: FTA vs FT (Anna) | This scatterplot represents the amount of Free Throws attempted vs. the amount of free throws that were made. I found this interesting because these two statistics are directly related in basketball. The more FTA the more FT a player can make The data on this plot shows that players with higher FTA generally also have higher FT, but the key difference is how close they are to converting these attempts consistently, especially in the playoffs The dotted diagonal line represent 100% of FT made. I am wondering now the percentage of free throws made vs the free throw taken."
IS296_Project.pptx,9,Github/Fact-Check-AI-Agent/data/student slide/extracted/IS296_Project/slide009_img02.png,chart,"Because I have two datasets, I decided to split each dataset into one slide. This slide will be centered around the All_Recipes dataset. | Here, this table demonstrates rows of recipes that contain the lowest average rating. These recipes seem to be influenced through their low total ratings and reviews. In comparison to the other table, these total times are much lower. | Here, this table demonstrates rows of recipes that contain the highest total times. Through these high total times, the average ratings seemed to be relatively high."
IS296_Project.pptx,9,Github/Fact-Check-AI-Agent/data/student slide/extracted/IS296_Project/slide009_img03.png,chart,"Because I have two datasets, I decided to split each dataset into one slide. This slide will be centered around the All_Recipes dataset. | Here, this table demonstrates rows of recipes that contain the lowest average rating. These recipes seem to be influenced through their low total ratings and reviews. In comparison to the other table, these total times are much lower. | Here, this table demonstrates rows of recipes that contain the highest total times. Through these high total times, the average ratings seemed to be relatively high."
IS296_Project.pptx,10,Github/Fact-Check-AI-Agent/data/student slide/extracted/IS296_Project/slide010_img03.png,chart,"Because I have two datasets, I decided to split each dataset into one slide. This slide will be centered around the Cuisines dataset. | Countries per cuisines that contain ‘sugar’ as an ingredient. | Countries per cuisines that contain ‘salt’ as an ingredient. | Countries per cuisines that contain ‘flour’ as an ingredient. | Overall counts of each cuisines per country | As there is many common ingredients in cooking/baking, I decided to scale it down to three ingredients: flour, salt, and sugar. Using these three ingredients, I sectioned the cuisines that had each ingredients and grouped together the countries. Through this process, it can be determined that certain countries dominate in having more of one ingredient than another. With flour, mostly European countries dominate in having flour in their cuisines while Asian and Latino countries have less. With salt, European countries along with a few other countries dominate in having salt whilst a mix of countries lack cuisines with salt as an ingredient. And with sugar, mostly Asian countries contain cuisines with sugar as an ingredient while a mix of european and latino countries lack of it."
